review,condition,rating
Ich hatte während der Behandlung starke Übelkeit.,Chemotherapy,6
Me sentí muy cansado después de la quimioterapia.,Cancer Treatment,5
Je souffrais de maux de tête constants après le traitement.,Chronic Pain,7
Ho avuto una perdita di appetito durante la terapia.,Appetite Loss,4
私は治療後に不安を感じました。,Anxiety,5
كنت أشعر بالتعب طوال الوقت أثناء العلاج.,Cancer Fatigue,5
I felt very hopeful thanks to the nurses and my family.,Cancer Support,8
내가 치료를 받는 동안 메스꺼움을 많이 느꼈어요.,Chemotherapy,6
Meu apetite diminuiu completamente após o tratamento.,Appetite Loss,4
Я чувствовал сильную усталость после химиотерапии.,Cancer Treatment,5
